sample_name,nodes,edges,time
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_false.sample,0020628,000265426,0.1652
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_whoami.sample,0026448,000308550,0.2038
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_whoami.sample,0028272,000352378,0.2827
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_fold.sample,0031824,000373916,0.3668
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_hostid.sample,0029024,000408336,0.3894
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_[.sample,0032844,000438638,0.3976
test-data/data/byteweight/pe-x86/msvs_whatever_32_Ox_7z.sample,0049818,000518462,0.4465
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_printf.sample,0045524,000594380,0.4947
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_wc.sample,0042864,000584356,0.5026
test-data/data/debian/buster/coreutils/usr_bin_who.sample,0050616,000572650,0.5242
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_join.sample,0040816,000563880,0.4646
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_runcon.sample,0041244,000529998,0.4209
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_base64.sample,0036932,000417074,0.3692
test-data/data/debian/buster/coreutils/usr_bin_arch.sample,0029364,000318088,0.2780
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_true.sample,0024068,000286822,0.2164
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_nice.sample,0031440,000414470,0.3244
test-data/data/byteweight/elf-x86/gcc_findutils_32_O2_bigram.sample,0010752,000101288,0.0544
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_mktemp.sample,0043348,000665026,0.5691
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_timeout.sample,0053376,000651510,0.5461
test-data/data/byteweight/pe-x86/msvs_whatever_32_O2_SfxSetup.sample,0082678,000911368,0.8130
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_dircolors.sample,0046384,000812298,0.7937
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_join.sample,0045452,000693032,0.5663
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_factor.sample,0113032,001741506,1.7397
test-data/data/byteweight/pe-x86/msvs_whatever_32_O2_pbc.sample,0009634,000595986,0.5239
test-data/data/byteweight/pe-x86/msvs_whatever_32_O1_hidapi.sample,0009844,000116920,0.0540
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_df.sample,0107952,001626948,1.4882
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_kill.sample,0040720,000506488,0.3984
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_setuidgid.sample,0032924,000424056,0.3359
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_dir.sample,0122160,002022818,1.9203
test-data/data/debian/buster/coreutils/usr_bin_sha224sum.sample,0051328,001203726,1.2878
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_echo.sample,0026724,000348360,0.2091
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_cp.sample,0119968,002203882,2.2095
test-data/data/debian/buster/coreutils/usr_bin_link.sample,0027568,000280578,0.1528
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_nl.sample,0102324,001165640,1.1001
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_uniq.sample,0040752,000602444,0.4959
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_sum.sample,0039632,000444864,0.2939
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_uname.sample,0031024,000439326,0.2887
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_pr.sample,0078200,001160162,1.2761
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_du.sample,0131348,001703166,1.5683
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_pr.sample,0066408,001001616,0.7732
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_uptime.sample,0043152,000580328,0.4085
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_shred.sample,0070572,001186440,0.9507
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_od.sample,0073328,001251314,1.0270
test-data/data/debian/buster/coreutils/usr_bin_sha256sum.sample,0051456,001205588,1.1466
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_cut.sample,0047472,000677016,0.5352
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_mkdir.sample,0056340,000925502,0.8331
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_base64.sample,0048176,000611724,0.5064
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_tail.sample,0062236,001220280,1.0829
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_uname.sample,0038032,000448902,0.4281
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_tty.sample,0026320,000312464,0.3625
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_sleep.sample,0027760,000349672,0.3237
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_expand.sample,0040496,000488172,0.5191
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_head.sample,0043952,000609328,0.6389
test-data/data/debian/buster/coreutils/usr_bin_split.sample,0058728,000879840,0.8863
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_mknod.sample,0036752,000537392,0.4187
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_vdir.sample,0122160,002022720,1.8938
test-data/data/debian/buster/coreutils/usr_bin_cksum.sample,0031436,000302506,0.1795
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_cat.sample,0050420,000614460,0.5256
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_shred.sample,0056304,000944302,0.8927
test-data/data/debian/buster/coreutils/usr_bin_head.sample,0044836,000489114,0.3477
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_timeout.sample,0050912,000730756,0.5466
test-data/data/debian/buster/coreutils/usr_bin_basename.sample,0029132,000323182,0.2009
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_mv.sample,0122332,001645584,1.4228
test-data/data/debian/buster/coreutils/usr_bin_expand.sample,0035284,000393354,0.2293
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_[.sample,0036940,000482092,0.3207
test-data/data/debian/buster/coreutils/usr_bin_groups.sample,0031432,000325274,0.2008
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_csplit.sample,0111260,001232186,1.0087
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_seq.sample,0047440,000593170,0.4461
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_rmdir.sample,0042896,000517506,0.3990
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_locate.sample,0057884,000882180,0.7330
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_xargs.sample,0037268,000597876,0.5200
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_printenv.sample,0028464,000341090,0.2444
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_yes.sample,0028112,000317598,0.2557
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_rmdir.sample,0048816,000841894,0.7035
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_head.sample,0039760,000525356,0.5091
test-data/data/debian/buster/coreutils/bin_date.sample,0113336,001541968,1.4925
test-data/data/byteweight/elf-x86/gcc_findutils_32_O0_xargs.sample,0036420,000515768,0.4683
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_date.sample,0062224,000906674,0.8882
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_sort.sample,0103856,001501314,1.5434
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_elfedit.sample,0025840,000295206,0.2743
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_chown.sample,0061476,000803538,0.9758
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_kill.sample,0030832,000392434,0.3669
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_true.sample,0021988,000266414,0.1885
test-data/data/debian/buster/coreutils/bin_cp.sample,0152128,002257132,2.2731
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_df.sample,0099148,001356790,1.2197
test-data/data/debian/buster/coreutils/bin_uname.sample,0029364,000318074,0.1470
test-data/data/debian/buster/php7.3-common/usr_lib_php_20180731_phar.so.sample,0295048,007424844,9.3929
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_ptx.sample,0146668,001908102,1.9332
test-data/data/debian/buster/coreutils/bin_pwd.sample,0031576,000339858,0.2016
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_id.sample,0035760,000445774,0.3081
test-data/data/debian/buster/coreutils/usr_bin_logname.sample,0027360,000277314,0.1459
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_nproc.sample,0030544,000360430,0.2221
test-data/data/debian/buster/php7.3-common/usr_lib_php_20180731_ftp.so.sample,0054700,000549424,0.4826
test-data/data/debian/buster/coreutils/bin_sleep.sample,0029180,000314368,0.1871
test-data/data/debian/buster/php7.3-common/usr_lib_php_20180731_posix.so.sample,0027272,000287892,0.1793
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_csplit.sample,0132380,001725550,1.7407
test-data/data/debian/buster/coreutils/usr_bin_numfmt.sample,0061856,001033820,0.9434
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_od.sample,0080112,001241512,1.2838
test-data/data/debian/buster/coreutils/bin_echo.sample,0030144,000338344,0.2049
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_groups.sample,0033700,000486740,0.4371
test-data/data/debian/buster/coreutils/usr_bin_base64.sample,0038316,000397612,0.2428
test-data/data/debian/buster/php7.3-common/usr_lib_php_20180731_sockets.so.sample,0087568,001429952,1.5630
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_chmod.sample,0060884,000834502,0.7949
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_chgrp.sample,0055316,000700602,0.6090
test-data/data/debian/buster/php7.3-common/usr_lib_php_20180731_iconv.so.sample,0037204,000531680,0.3931
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_chmod.sample,0065784,000814802,0.7413
test-data/data/debian/buster/libpopt0/usr_lib_i386-linux-gnu_libpopt.so.0.0.0.sample,0049512,000484486,0.3831
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_od.sample,0065780,001034332,0.9649
test-data/data/debian/buster/coreutils/usr_bin_sort.sample,0118676,001563976,1.4079
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_tee.sample,0031728,000453428,0.4138
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sum.sample,0039664,000556958,0.3815
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_ar.sample,1029680,011847802,13.2724
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_cksum.sample,0032840,000458814,0.3078
test-data/data/debian/buster/coreutils/bin_df.sample,0091812,001026084,0.8918
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mkfifo.sample,0031120,000400918,0.3113
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_pwd.sample,0031504,000426850,0.3354
test-data/data/byteweight/pe-x86/msvs_whatever_32_Ox_psftp.sample,0498552,010113956,12.0749
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_pathchk.sample,0028176,000370594,0.2707
test-data/data/debian/buster/coreutils/usr_bin_[.sample,0051432,000541038,0.4172
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_nohup.sample,0030032,000407022,0.2524
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_dircolors.sample,0038032,000709090,0.6496
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_users.sample,0030832,000432984,0.3805
test-data/data/debian/buster/coreutils/usr_bin_stat.sample,0083104,001007270,0.8526
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_printf.sample,0049104,000598994,0.5009
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_nm-new.sample,0875180,010883662,11.4773
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_mv.sample,0105852,001427240,1.1876
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_strings.sample,0995688,011290376,12.6283
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_cxxfilt.sample,0895008,010877390,12.1156
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_setuidgid.sample,0030864,000400044,0.3061
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_echo.sample,0025176,000318304,0.1969
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_sleep.sample,0037936,000504038,0.4298
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_readlink.sample,0039632,000491854,0.4263
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_mknod.sample,0047280,000648450,0.4970
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_rmdir.sample,0051248,000589134,0.4381
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_objcopy.sample,1212184,014742700,16.6859
test-data/data/byteweight/pe-x86/msvs_whatever_32_O2_pageant.sample,0251748,003465100,3.3788
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_basename.sample,0029420,000367598,0.3887
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_yes.sample,0026320,000314430,0.2820
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_tr.sample,0067168,001139580,1.1007
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_false.sample,0022660,000290776,0.1305
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mv.sample,0109468,001485866,1.5475
test-data/data/byteweight/elf-x86/gcc_findutils_32_O2_locate.sample,0060324,000844260,0.6374
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_chgrp.sample,0063860,000866112,0.7473
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_shuf.sample,0047924,000543784,0.4103
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_gprof.sample,1128756,016725190,18.5470
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_tr.sample,0055184,000922046,0.7145
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_dd.sample,0066952,001108624,0.8538
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_rm.sample,0064532,001011838,0.8197
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_vdir.sample,0115984,001881002,1.6634
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mknod.sample,0036048,000451782,0.4015
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_readelf.sample,0415988,006517100,6.6786
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_dir.sample,0141168,002250644,2.2647
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_logname.sample,0036336,000416916,0.3877
test-data/data/byteweight/elf-x86/gcc_binutils_32_O1_ranlib.sample,0891832,011141224,11.7002
test-data/data/byteweight/elf-x86/gcc_findutils_32_O3_find.sample,0185484,003191084,3.2944
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_nm-new.sample,0911208,010297776,10.0671
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_dirname.sample,0029808,000427884,0.3570
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_df.sample,0117336,001468432,1.5668
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_make-prime-list.sample,0004936,000046020,0.0444
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_strings.sample,0900116,010096886,9.8286
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_uptime.sample,0039440,000465878,0.4387
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_wc.sample,0038736,000484670,0.4259
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_expand.sample,0030224,000380650,0.2893
test-data/data/byteweight/pe-x86/msvs_whatever_32_O2_pscp.sample,0488668,009401186,10.9498
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_env.sample,0030576,000428146,0.3260
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_stdbuf.sample,0064936,000766674,0.6326
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_expr.sample,0128244,001471302,1.2765
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_chgrp.sample,0070152,000861894,0.6646
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sleep.sample,0030896,000463796,0.3192
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_tsort.sample,0048048,001190416,1.2659
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_nohup.sample,0040272,000561092,0.5251
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_uname.sample,0029744,000361346,0.3021
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_expr.sample,0121524,001622596,1.4880
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_sysinfo.sample,0020308,000260464,0.1504
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_pinky.sample,0036656,000448906,0.3269
test-data/data/byteweight/pe-x86/msvs_whatever_32_Od_readmsg.sample,0013770,000197426,0.0972
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_as-new.sample,1646312,025921190,29.9483
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_factor.sample,0113384,001673842,1.5050
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_ls.sample,0122160,002022622,1.8987
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_objcopy.sample,1084984,012935684,13.4415
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_truncate.sample,0051336,000715118,0.6011
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_sha1sum.sample,0040848,000664054,0.5322
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_cut.sample,0043536,000563256,0.4287
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_setuidgid.sample,0034768,000531202,0.4926
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_echo.sample,0023172,000307292,0.2184
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_frcode.sample,0014912,000177640,0.0776
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_ln.sample,0060436,000874838,0.7244
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_touch.sample,0057780,000773758,0.6597
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_chown.sample,0072244,000942788,0.7919
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_id.sample,0037496,000558944,0.4556
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mktemp.sample,0040340,000531642,0.4285
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_cksum.sample,0029736,000333902,0.2173
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_comm.sample,0036496,000541452,0.4982
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_size.sample,0998388,011360134,11.4323
test-data/data/byteweight/elf-x86/gcc_binutils_32_O2_ar.sample,0928296,010509118,10.1698
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_fmt.sample,0071152,000954562,0.6565
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_runcon.sample,0033720,000528334,0.3539
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_kill.sample,0032432,000411392,0.2964
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_tac.sample,0099660,001129264,0.9997
