sample_name,size,time
test-data/data/llvm/RelWithDebInfo/llvm-tblgen.sample,2095011,39.1270
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_env.sample,0027472,0.1896
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_env.sample,0037572,0.2500
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_link.sample,0028272,0.1989
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_id.sample,0033860,0.3282
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_ln.sample,0053340,0.8016
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_unexpand.sample,0031152,0.2293
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_ar.sample,1029680,9.5283
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mkfifo.sample,0031120,0.2165
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_dircolors.sample,0038032,0.3455
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_users.sample,0030832,0.2192
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_printf.sample,0049104,0.3273
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_mv.sample,0105852,0.8510
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_sleep.sample,0037936,0.2698
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_readelf.sample,0415988,4.9035
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_whoami.sample,0028272,0.1918
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_runcon.sample,0041244,0.2861
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_nice.sample,0031440,0.2253
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_join.sample,0045452,0.3497
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_kill.sample,0040720,0.2698
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_echo.sample,0026724,0.1767
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_sum.sample,0039632,0.2490
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_vdir.sample,0122160,1.2672
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_timeout.sample,0050912,0.3882
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_[.sample,0036940,0.2675
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_locate.sample,0057884,0.4562
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_rmdir.sample,0048816,0.4061
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_date.sample,0062224,0.4962
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_ptx.sample,0146668,1.2124
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_nproc.sample,0030544,0.1983
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_ld-new.sample,1896792,34.2574
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_fold.sample,0031824,0.2160
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_df.sample,0107952,1.4880
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_uniq.sample,0040752,0.3452
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_shred.sample,0070572,0.7900
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_uname.sample,0038032,0.2504
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_strings.sample,0995688,9.6926
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_readlink.sample,0039632,0.2763
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mv.sample,0109468,1.0131
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_chgrp.sample,0063860,0.6182
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_tr.sample,0055184,0.5492
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_vdir.sample,0115984,1.2636
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mknod.sample,0036048,0.2547
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_dir.sample,0141168,1.8963
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_logname.sample,0036336,0.3346
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_size.sample,1052436,11.1781
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_vdir.sample,0141168,1.5354
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_tee.sample,0031728,0.2333
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_sha512sum.sample,0128496,19.8325
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_numfmt.sample,0071760,0.7253
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_printenv.sample,0026736,0.1850
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_tsort.sample,0034384,0.2616
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_users.sample,0027760,0.1921
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_mkdir.sample,0049224,0.3045
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_oldfind.sample,0153420,1.9498
test-data/data/byteweight/elf-x86/gcc_findutils_32_O3_find.sample,0185484,2.1492
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_size.sample,0998388,8.9656
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_fmt.sample,0071152,0.4042
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_runcon.sample,0033720,0.2685
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_kill.sample,0032432,0.2181
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_realpath.sample,0058448,0.4029
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_setuidgid.sample,0041816,0.3117
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_ptx.sample,0127580,0.9353
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_printf.sample,0045524,0.3226
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_dircolors.sample,0046384,0.4486
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_pr.sample,0078200,0.7786
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_mkdir.sample,0056340,0.4597
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_tty.sample,0026320,0.1733
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_mv.sample,0122332,0.9792
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_seq.sample,0047440,0.3263
test-data/data/byteweight/elf-x86/gcc_findutils_32_O1_xargs.sample,0037268,0.3028
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_yes.sample,0028112,0.1740
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_head.sample,0039760,0.2810
test-data/data/byteweight/elf-x86/gcc_findutils_32_O0_xargs.sample,0036420,0.2754
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_chown.sample,0061476,0.4469
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_kill.sample,0030832,0.2109
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O2_true.sample,0021988,0.1444
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_csplit.sample,0132380,1.0542
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_groups.sample,0033700,0.2476
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_chgrp.sample,0055316,0.3959
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_od.sample,0065780,0.5640
